State,ABBREV,FIPS,YEAR,aviation.tgd.s,hours
Alabama,AL,1,2016,6.90,503625.00
Alaska,AK,2,2016,,696077.00
Arizona,AZ,4,2016,16.50,808762.00
Arkansas,AR,5,2016,5.30,298332.00
California,CA,6,2016,74.00,2408414.00
Colorado,CO,8,2016,9.30,653802.00
Connecticut,CT,9,2016,2.20,203549.00
Delaware,DE,10,2016,0.90,198183.00
District of Columbia,DC,11,2016,,174694.00
Florida,FL,12,2016,51.70,2034439.00
Georgia,GA,13,2016,13.20,609050.00
Hawaii,HI,15,2016,,152003.00
Idaho,ID,16,2016,4.90,302199.00
Illinois,IL,17,2016,8.70,524815.00
Indiana,IN,18,2016,7.10,407980.00
Iowa,IA,19,2016,4.40,216134.00
Kansas,KS,20,2016,6.50,402305.00
Kentucky,KY,21,2016,3.40,111369.00
Louisiana,LA,22,2016,6.90,622340.00
Maine,ME,23,2016,2.50,87732.00
Maryland,MD,24,2016,4.10,194193.00
Massachusetts,MA,25,2016,7.60,222514.00
Michigan,MI,26,2016,8.20,374979.00
Minnesota,MN,27,2016,8.40,492786.00
Mississippi,MS,28,2016,4.70,261507.00
Missouri,MO,29,2016,7.60,377244.00
Montana,MT,30,2016,5.50,226264.00
Nebraska,NE,31,2016,4.20,224567.00
Nevada,NV,32,2016,,332289.00
New Hampshire,NH,33,2016,2.00,85151.00
New Jersey,NJ,34,2016,4.90,375783.00
New Mexico,NM,35,2016,4.60,154585.00
New York,NY,36,2016,8.10,697702.00
North Carolina,NC,37,2016,10.30,501299.00
North Dakota,ND,38,2016,4.30,332294.00
Ohio,OH,39,2016,8.80,661736.00
Oklahoma,OK,40,2016,6.40,821596.00
Oregon,OR,41,2016,11.10,775734.00
Pennsylvania,PA,42,2016,8.00,485815.00
Rhode Island,RI,44,2016,,46109.00
South Carolina,SC,45,2016,5.80,171077.00
South Dakota,SD,46,2016,2.80,133581.00
Tennessee,TN,47,2016,8.10,364755.00
Texas,TX,48,2016,44.90,2251492.00
Utah,UT,49,2016,6.10,433010.00
Vermont,VT,50,2016,,36702.00
Virginia,VA,51,2016,7.80,465801.00
Washington,WA,53,2016,9.60,539750.00
West Virginia,WV,54,2016,1.00,60228.00
Wisconsin,WI,55,2016,6.60,422544.00
Wyoming,WY,56,2016,2.10,111030.00
Alabama,AL,1,2015,6.70,503625.00
Alaska,AK,2,2015,,696077.00
Arizona,AZ,4,2015,18.00,808762.00
Arkansas,AR,5,2015,5.20,298332.00
California,CA,6,2015,79.20,2408414.00
Colorado,CO,8,2015,9.00,653802.00
Connecticut,CT,9,2015,2.30,203549.00
Delaware,DE,10,2015,0.90,198183.00
District of Columbia,DC,11,2015,,174694.00
Florida,FL,12,2015,50.40,2034439.00
Georgia,GA,13,2015,12.60,609050.00
Hawaii,HI,15,2015,,152003.00
Idaho,ID,16,2015,4.70,302199.00
Illinois,IL,17,2015,9.50,524815.00
Indiana,IN,18,2015,7.20,407980.00
Iowa,IA,19,2015,5.20,216134.00
Kansas,KS,20,2015,6.90,402305.00
Kentucky,KY,21,2015,3.30,111369.00
Louisiana,LA,22,2015,7.00,622340.00
Maine,ME,23,2015,2.50,87732.00
Maryland,MD,24,2015,3.80,194193.00
Massachusetts,MA,25,2015,7.70,222514.00
Michigan,MI,26,2015,8.00,374979.00
Minnesota,MN,27,2015,9.00,492786.00
Mississippi,MS,28,2015,5.00,261507.00
Missouri,MO,29,2015,7.50,377244.00
Montana,MT,30,2015,6.20,226264.00
Nebraska,NE,31,2015,4.10,224567.00
Nevada,NV,32,2015,,332289.00
New Hampshire,NH,33,2015,2.00,85151.00
New Jersey,NJ,34,2015,4.70,375783.00
New Mexico,NM,35,2015,4.30,154585.00
New York,NY,36,2015,8.00,697702.00
North Carolina,NC,37,2015,9.70,501299.00
North Dakota,ND,38,2015,4.40,332294.00
Ohio,OH,39,2015,8.50,661736.00
Oklahoma,OK,40,2015,6.30,821596.00
Oregon,OR,41,2015,10.70,775734.00
Pennsylvania,PA,42,2015,11.00,485815.00
Rhode Island,RI,44,2015,,46109.00
South Carolina,SC,45,2015,5.60,171077.00
South Dakota,SD,46,2015,2.70,133581.00
Tennessee,TN,47,2015,7.60,364755.00
Texas,TX,48,2015,41.40,2251492.00
Utah,UT,49,2015,6.50,433010.00
Vermont,VT,50,2015,,36702.00
Virginia,VA,51,2015,6.90,465801.00
Washington,WA,53,2015,10.10,539750.00
