STATE,ABBREV,FIPS,Federal CAR,Federal BUS,Federal TRUCK,"State, County, and Municipal CAR","State, County, and Municipal BUS","State, County, and Municipal TRUCK"
Alabama,AL,01,1497,132,6856,14153,4011,18614
Alaska,AK,02,182,76,4436,4318,134,13008
Arizona,AZ,04,2252,329,16681,18852,6955,25070
Arkansas,AR,05,574,54,3938,15963,647,28935
California,CA,06,10613,565,59686,220363,58873,213120
Colorado,CO,08,1237,111,11159,13267,6511,21625
Connecticut,CT,09,727,29,4428,489,145,478
Delaware,DE,10,122,25,1306,2559,802,2878
District of Columbia,DC,11,4359,107,7290,12669,3571,6850
Florida,FL,12,5878,278,25789,103490,33691,103250
Georgia,GA,13,3027,342,13904,50929,29837,63030
Hawaii,HI,15,796,119,5607,7049,757,9145
Idaho,ID,16,291,122,5342,1589,382,2927
Illinois,IL,17,2991,97,14535,38235,120,43458
Indiana,IN,18,1087,146,7023,1429,13339,2115
Iowa,IA,19,587,39,3701,11852,5300,18848
Kansas,KS,20,748,68,4211,11552,2211,17929
Kentucky,KY,21,1311,127,5848,31877,9061,43009
Louisiana,LA,22,1433,116,6624,27314,6660,43964
Maine,ME,23,257,22,2010,4041,3000,6007
Maryland,MD,24,2901,297,12744,27470,3805,27440
Massachusetts,MA,25,1773,79,8325,22791,950,24088
Michigan,MI,26,2090,71,11434,24350,5210,33481
Minnesota,MN,27,1123,32,6638,16468,5559,23188
Mississippi,MS,28,927,87,4927,1927,5959,2689
Missouri,MO,29,1898,122,8888,17643,6899,24138
Montana,MT,30,316,91,5380,463,68,1066
Nebraska,NE,31,488,38,3042,15257,32,24697
Nevada,NV,32,739,61,6110,7312,2585,8735
New Hampshire,NH,33,273,16,1770,3972,2216,5068
New Jersey,NJ,34,2281,90,11553,38431,2200,37315
New Mexico,NM,35,1283,225,10954,6753,1037,10890
New York,NY,36,5217,167,19713,39772,22714,43876
North Carolina,NC,37,2311,299,11599,45457,19945,56312
North Dakota,ND,38,250,70,3061,4122,1798,9981
Ohio,OH,39,2403,93,12910,45340,6618,51346
Oklahoma,OK,40,1053,121,6081,6225,1154,9123
Oregon,OR,41,798,57,8029,24078,8376,33999
Pennsylvania,PA,42,3076,123,14093,47149,2492,54994
Rhode Island,RI,44,296,27,1738,7055,347,6188
South Carolina,SC,45,1324,146,6744,55572,12220,69766
South Dakota,SD,46,300,53,2841,7309,2787,14503
Tennessee,TN,47,2139,66,9853,47809,23982,63813
Texas,TX,48,7144,581,38518,87301,70960,133592
Utah,UT,49,733,103,6586,11374,3480,15097
Vermont,VT,50,166,17,1002,3052,480,4461
Virginia,VA,51,5139,478,20645,41079,24744,46824
Washington,WA,53,2060,224,15612,66100,16708,84055
West Virginia,WV,54,629,50,3321,12590,3074,21853
Wisconsin,WI,55,967,46,5914,33709,14481,45166
Wyoming,WY,56,249,40,3032,330,129,913
US,,,92315,6874,493431,1360250,459016,1672917
