State,Agricultural Region,Ag_Equipment
Alabama,South,519
Alaska,,8.163949975
Arizona,West,231
Arkansas,South,1942
California,West,2204
Colorado,West,1132
Connecticut,Atlantic,33.66961782
Delaware,Atlantic,113
Florida,South,0
Georgia,South,602
Hawaii,,28.08051333
Idaho,West,1123
Illinois,Midwest,5875
Indiana,Midwest,3108
Iowa,Midwest,6247
Kansas,Plains,4941
Kentucky,Atlantic,1296
Louisiana,South,868
Maine,Atlantic,103
Maryland,Atlantic,334
Massachusetts,Atlantic,40.85387203
Michigan,Midwest,1778
Minnesota,Midwest,5050
Mississippi,South,1078
Missouri,Midwest,3420
Montana,West,2276
Nebraska,Plains,4514
Nevada,West,143
New Hampshire,Atlantic,24.62293898
New Jersey,Atlantic,116
New Mexico,West,223
New York,Atlantic,1001
North Carolina,Atlantic,1122
North Dakota,Plains,5183
Ohio,Midwest,2614
Oklahoma,Plains,2006
Oregon,West,812
Pennsylvania,Atlantic,1062
Rhode Island,Atlantic,5
South Carolina,South,358
South Dakota,Plains,3513
Tennessee,Atlantic,1137
Texas,Plains,4621
Utah,West,250
Vermont,Atlantic,118
Virginia,Atlantic,683
Washington,West,1274
West Virginia,Atlantic,169
Wisconsin,Midwest,2324
Wyoming,West,338
