State,Region,CY FUELS AND OILS EXPENSE
Alabama,South,179640
Alaska,United States,5091
Arizona,West,189338
Arkansas,South,510909
California,West,1552328
Colorado,West,288559
Connecticut,Atlantic,37338
Delaware,Atlantic,30861
Florida,South,325053
Georgia,South,346738
Hawaii,United States,33157
Idaho,West,318433
Illinois,Midwest,736736
Indiana,Midwest,457781
Iowa,Midwest,866990
Kansas,Plains,710412
Kentucky,Atlantic,268528
Louisiana,South,235089
Maine,Atlantic,40871
Maryland,Atlantic,86919
Massachusetts,Atlantic,30619
Michigan,Midwest,397260
Minnesota,Midwest,798828
Mississippi,South,288348
Missouri,Midwest,507282
Montana,West,270619
Nebraska,Plains,906596
Nevada,West,47974
New Hampshire,Atlantic,13389
New Jersey,Atlantic,55991
New Mexico,West,130982
New York,Atlantic,313194
North Carolina,Atlantic,417600
North Dakota,Plains,538408
Ohio,Midwest,419513
Oklahoma,Plains,351180
Oregon,West,232078
Pennsylvania,Atlantic,312238
Rhode Island,Atlantic,5296
South Carolina,South,134969
South Dakota,Plains,447956
Tennessee,Atlantic,197953
Texas,Plains,1164301
Utah,West,96270
Vermont,Atlantic,43540
Virginia,Atlantic,190119
Washington,West,353923
West Virginia,Atlantic,41919
Wisconsin,Midwest,542992
Wyoming,West,101080
