STATE,SCM Ratio
Alabama,0.0504
Alaska,0.0494
Arizona,0.0496
Arkansas,0.0498
California,0.0496
Colorado,0.0499
Connecticut,0.0496
Delaware,0.0418
District of Columbia,0.0426
Florida,0.0453
Georgia,0.0496
Hawaii,0.0498
Idaho,0.0498
Illinois,0.0496
Indiana,0.0498
Iowa,0.0498
Kansas,0.0498
Kentucky,0.0496
Louisiana,0.0536
Maine,0.0497
Maryland,0.0496
Massachusetts,0.0496
Michigan,0.0495
Minnesota,0.0498
Mississippi,0.0499
Missouri,0.0499
Montana,0.0497
Nebraska,0.0496
Nevada,0.0496
New Hampshire,0.0496
New Jersey,0.0496
New Mexico,0.0496
New York,0.0496
North Carolina,0.0411
North Dakota,0.0497
Ohio,0.0498
Oklahoma,0.0496
Oregon,0.0497
Pennsylvania,0.0463
Rhode Island,0.0466
South Carolina,0.0511
South Dakota,0.05
Tennessee,0.0469
Texas,0.0497
Utah,0.0498
Vermont,0.0497
Virginia,0.0496
Washington,0.0421
West Virginia,0.0496
Wisconsin,0.0498
Wyoming,0.0503
