STATE,ABBREV,FIPS,Light Trucks Registrations (HS MV-9) Pickups,Light Trucks Registrations (HS MV-9) SUVs,Light Trucks % of Off-road Pickups,Light Trucks % of Off-road SUVs,Number of Motorcycles,Number of ATVs,Snowmobiles Registered,Snowmobiles Unregistered/Estimated,Land Factor Rurural Net Land,Federal Land Factor
Alabama,AL,01,1337244,1204619,0.031322655,0.010164506,38800,286225.0842,,,47545,0.1
Alaska,AK,02,239843,231283,0.02926887,0.008912772,10900,97446.60709,52380,30600,570954,0.3
Arizona,AZ,04,1090138,1298241,0.033933013,0.028883513,54500,230622.8325,0,15548,111063,0.25
Arkansas,AR,05,798329,634116,0.041187712,0.02052663,27100,316222.8577,0,,51260,0.1
California,CA,06,4228674,6603054,0.018486897,0.025576275,358700,538821.7369,19700,985,132759,0.3
Colorado,CO,08,940318,1561689,0.039899736,0.022413242,68500,167378.4708,28023,1401.15,101252,0.25
Connecticut,CT,09,291501,808714,0.003664695,0.002021325,28000,53500.01574,0,0,2773,0
Delaware,DE,10,137121,258855,0.028303463,0.00846277,6600,16240,0,0,1625,0
District of Columbia,DC,11,11537,68530,0.014047181,0.006015038,1500,572.7648743,0,0,0,0
Florida,FL,12,2220978,3895881,0.024530449,0.019156914,151200,313166.0137,0,,44389,0.1
Georgia,GA,13,1585575,1924330,0.00804704,0.017241066,66400,342400.1007,0,,48241,0.1
Hawaii,HI,15,257388,298519,0.028110144,0.032644628,0,0,0,,5661,0
Idaho,ID,16,523566,428748,0.069611476,0.027886186,36100,148844.3869,41635,2081.75,81353,0.2
Illinois,IL,17,1279182,2799799,0.00822344,0.004126058,83100,293103.5078,26493,1324.65,50111,0.1
Indiana,IN,18,1121981,1370405,0.014652782,0.008442596,49000,243234.15,9500,475,31528,0.05
Iowa,IA,19,838226,789521,0.031534703,0.006043869,31600,140437.5413,25995,1299.75,54718,0.1
Kansas,KS,20,632924,572814,0.032392476,0.02466815,22500,93625.02754,0,0,80315,0.2
Kentucky,KY,21,953598,903778,0.021058744,0.013820838,38800,342972.8656,0,,38248,0.05
Louisiana,LA,22,1080096,887720,0.027947594,0.002510449,37000,316222.8577,0,,40165,0.1
Maine,ME,23,238173,270399,0.019103721,0.018198716,14300,117509.113,80000,4000,30276,0.05
Maryland,MD,24,491387,1039869,0.007857838,0.008234923,39300,101840.9515,0,0,7972,0
Massachusetts,MA,25,538636,1490757,0.005388126,0.010054081,40000,84262.52478,12400,620,3989,0
Michigan,MI,26,1364528,2285123,0.011298709,0.010526316,72600,380805.7689,205351,10267.55,52293,0.1
Minnesota,MN,27,940605,1309389,0.025874416,0.008191355,49000,390359.1932,258000,12900,77004,0.15
Mississippi,MS,28,558883,434197,0.03543151,0.023287671,21600,279919.4255,0,0,44900,0.1
Missouri,MO,29,1183509,1251685,0.032141961,0.005324404,43700,317752.3288,0,,66631,0.15
Montana,MT,30,475279,338587,0.072672158,0.042659575,22500,93243.18429,44885,2244.25,145232,0.3
Nebraska,NE,31,452017,445954,0.046071213,0.01537037,14500,82543.18114,899,44.95,76354,0.15
Nevada,NV,32,415858,603512,0.037529059,0.042207827,30700,85981.86843,0,51518,108599,0.25
New Hampshire,NH,33,216662,343077,0.026214238,0.024215756,19600,66110.28415,44349,2217.45,8250,0
New Jersey,NJ,34,466103,1653316,0.013342997,0.007370136,47800,126106.8802,0,0,3616,0
New Mexico,NM,35,493759,403956,0.048977427,0.035074802,23000,85409.10355,0,0,120622,0.3
New York,NY,36,1038517,3109351,0.020957369,0.010820676,93500,422841.0459,115982,5799.1,40948,0.1
North Carolina,NC,37,1535784,1857678,0.016218004,0.009648602,76300,351189.8386,0,0,43232,0.1
North Dakota,ND,38,252864,193706,0.068931203,0.007373737,10400,42800.01259,12310,615.5,68698,0.15
Ohio,OH,39,1606405,2489289,0.013642999,0.001811027,90800,414434.2003,11893,594.65,35377,0.05
Oklahoma,OK,40,644997,636756,0.060806894,0.016279164,35900,177887.5523,0,0,66467,0.15
Oregon,OR,41,747369,842868,0.025609979,0.026504854,44400,174447.816,14132,706.6,94779,0.2
Pennsylvania,PA,42,1458419,2780867,0.013058036,0.013155634,111200,476341.0617,36351,1817.55,32215,0.05
Rhode Island,RI,44,94685,217969,0.003276721,0.007168829,6800,11081.8464,0,0,438,0
South Carolina,SC,45,819077,980482,0.014553642,0.010837674,32900,161646.626,0,0,27245,0.05
South Dakota,SD,46,272231,223598,0.059946929,0.029081633,10300,56556.85977,14589,729.45,75635,0.15
Tennessee,TN,47,1206972,1292684,0.027790118,0.01490889,49600,317943.2504,0,0,37728,0.05
Texas,TX,48,5183476,5651021,0.028341741,0.008752129,159500,623657.0266,0,,248416,0.3
Utah,UT,49,430137,529923,0.037015782,0.016137303,37800,212853.4842,23200,1160,80234,0.2
Vermont,VT,50,131190,176324,0.012267005,0.002,7400,42990.93421,23872,1193.6,9015,0
Virginia,VA,51,1152392,1818035,0.014943679,0.019317879,58700,212471.6409,0,0,35482,0.05
Washington,WA,53,1260598,1575762,0.02096423,0.02154203,81700,155722.8105,24520,1226,64158,0.15
West Virginia,WV,54,404744,417731,0.04291137,0.0296193,27600,256800.0755,0,0,23364,0.05
Wisconsin,WI,55,920786,1297317,0.015514983,0.014392392,52500,364755.7641,237803,11890.15,52611,0.1
Wyoming,WY,56,279927,201878,0.093944259,0.048411159,14300,70696.59922,33000,1650,96564,0.2
