"","PADD","State","ABBREV","FIPS","AGREGION","Year","ppg"
"1","Gulf Coast (PADD 3)","Alabama","AL",1,"South",2012,3.479
"2","Gulf Coast (PADD 3)","Alabama","AL",1,"South",2015,2.256
"3","Gulf Coast (PADD 3)","Alabama","AL",1,"South",2016,2.024
"4","Gulf Coast (PADD 3)","Alabama","AL",1,"South",2017,2.295
"5","West Coast (PADD 5)","Alaska","AK",2,"",2012,3.805
"6","West Coast (PADD 5)","Alaska","AK",2,"",2015,3.042
"7","West Coast (PADD 5)","Alaska","AK",2,"",2016,2.646
"8","West Coast (PADD 5)","Alaska","AK",2,"",2017,2.948
"9","West Coast (PADD 5)","Arizona","AZ",4,"West",2012,3.805
"10","West Coast (PADD 5)","Arizona","AZ",4,"West",2015,3.042
"11","West Coast (PADD 5)","Arizona","AZ",4,"West",2016,2.646
"12","West Coast (PADD 5)","Arizona","AZ",4,"West",2017,2.948
"13","Gulf Coast (PADD 3)","Arkansas","AR",5,"South",2012,3.479
"14","Gulf Coast (PADD 3)","Arkansas","AR",5,"South",2015,2.256
"15","Gulf Coast (PADD 3)","Arkansas","AR",5,"South",2016,2.024
"16","Gulf Coast (PADD 3)","Arkansas","AR",5,"South",2017,2.295
"17","West Coast (PADD 5)","California","CA",6,"West",2012,4.081
"18","West Coast (PADD 5)","California","CA",6,"West",2015,3.221
"19","West Coast (PADD 5)","California","CA",6,"West",2016,2.782
"20","West Coast (PADD 5)","California","CA",6,"West",2017,3.08
"21","Rocky Mountain (PADD 4)","Colorado","CO",8,"West",2012,3.531
"22","Rocky Mountain (PADD 4)","Colorado","CO",8,"West",2015,2.409
"23","Rocky Mountain (PADD 4)","Colorado","CO",8,"West",2016,2.14
"24","Rocky Mountain (PADD 4)","Colorado","CO",8,"West",2017,2.429
"25","New England (PADD 1A)","Connecticut","CT",9,"Atlantic",2012,3.785
"26","New England (PADD 1A)","Connecticut","CT",9,"Atlantic",2015,2.507
"27","New England (PADD 1A)","Connecticut","CT",9,"Atlantic",2016,2.255
"28","New England (PADD 1A)","Connecticut","CT",9,"Atlantic",2017,2.532
"29","Central Atlantic (PADD 1B)","Delaware","DE",10,"Atlantic",2012,3.763
"30","Central Atlantic (PADD 1B)","Delaware","DE",10,"Atlantic",2015,2.559
"31","Central Atlantic (PADD 1B)","Delaware","DE",10,"Atlantic",2016,2.312
"32","Central Atlantic (PADD 1B)","Delaware","DE",10,"Atlantic",2017,2.639
"33","Central Atlantic (PADD 1B)","District of Columbia","DC",11,"",2012,3.763
"34","Central Atlantic (PADD 1B)","District of Columbia","DC",11,"",2015,2.559
"35","Central Atlantic (PADD 1B)","District of Columbia","DC",11,"",2016,2.312
"36","Central Atlantic (PADD 1B)","District of Columbia","DC",11,"",2017,2.639
"37","Lower Atlantic (PADD 1C)","Florida","FL",12,"South",2012,3.629
"38","Lower Atlantic (PADD 1C)","Florida","FL",12,"South",2015,2.438
"39","Lower Atlantic (PADD 1C)","Florida","FL",12,"South",2016,2.216
"40","Lower Atlantic (PADD 1C)","Florida","FL",12,"South",2017,2.485
"41","Lower Atlantic (PADD 1C)","Georgia","GA",13,"South",2012,3.618
"42","Lower Atlantic (PADD 1C)","Georgia","GA",13,"South",2015,2.42
"43","Lower Atlantic (PADD 1C)","Georgia","GA",13,"South",2016,2.206
"44","Lower Atlantic (PADD 1C)","Georgia","GA",13,"South",2017,2.455
"45","West Coast (PADD 5)","Hawaii","HI",15,"",2012,3.805
"46","West Coast (PADD 5)","Hawaii","HI",15,"",2015,3.042
"47","West Coast (PADD 5)","Hawaii","HI",15,"",2016,2.646
"48","West Coast (PADD 5)","Hawaii","HI",15,"",2017,2.948
"49","Rocky Mountain (PADD 4)","Idaho","ID",16,"West",2012,3.552
"50","Rocky Mountain (PADD 4)","Idaho","ID",16,"West",2015,2.481
"51","Rocky Mountain (PADD 4)","Idaho","ID",16,"West",2016,2.212
"52","Rocky Mountain (PADD 4)","Idaho","ID",16,"West",2017,2.498
"53","Midwest (PADD 2)","Illinois","IL",17,"Midwest",2012,3.605
"54","Midwest (PADD 2)","Illinois","IL",17,"Midwest",2015,2.411
"55","Midwest (PADD 2)","Illinois","IL",17,"Midwest",2016,2.143
"56","Midwest (PADD 2)","Illinois","IL",17,"Midwest",2017,2.405
"57","Midwest (PADD 2)","Indiana","IN",18,"Midwest",2012,3.605
"58","Midwest (PADD 2)","Indiana","IN",18,"Midwest",2015,2.411
"59","Midwest (PADD 2)","Indiana","IN",18,"Midwest",2016,2.143
"60","Midwest (PADD 2)","Indiana","IN",18,"Midwest",2017,2.405
"61","Midwest (PADD 2)","Iowa","IA",19,"Midwest",2012,3.605
"62","Midwest (PADD 2)","Iowa","IA",19,"Midwest",2015,2.411
"63","Midwest (PADD 2)","Iowa","IA",19,"Midwest",2016,2.143
"64","Midwest (PADD 2)","Iowa","IA",19,"Midwest",2017,2.405
"65","Midwest (PADD 2)","Kansas","KS",20,"Plains",2012,3.605
"66","Midwest (PADD 2)","Kansas","KS",20,"Plains",2015,2.411
"67","Midwest (PADD 2)","Kansas","KS",20,"Plains",2016,2.143
"68","Midwest (PADD 2)","Kansas","KS",20,"Plains",2017,2.405
"69","Midwest (PADD 2)","Kentucky","KY",21,"Atlantic",2012,3.605
"70","Midwest (PADD 2)","Kentucky","KY",21,"Atlantic",2015,2.411
"71","Midwest (PADD 2)","Kentucky","KY",21,"Atlantic",2016,2.143
"72","Midwest (PADD 2)","Kentucky","KY",21,"Atlantic",2017,2.405
"73","Gulf Coast (PADD 3)","Louisiana","LA",22,"South",2012,3.479
"74","Gulf Coast (PADD 3)","Louisiana","LA",22,"South",2015,2.256
"75","Gulf Coast (PADD 3)","Louisiana","LA",22,"South",2016,2.024
"76","Gulf Coast (PADD 3)","Louisiana","LA",22,"South",2017,2.295
"77","New England (PADD 1A)","Maine","ME",23,"Atlantic",2012,3.785
"78","New England (PADD 1A)","Maine","ME",23,"Atlantic",2015,2.507
"79","New England (PADD 1A)","Maine","ME",23,"Atlantic",2016,2.255
"80","New England (PADD 1A)","Maine","ME",23,"Atlantic",2017,2.532
"81","Central Atlantic (PADD 1B)","Maryland","MD",24,"Atlantic",2012,3.763
"82","Central Atlantic (PADD 1B)","Maryland","MD",24,"Atlantic",2015,2.559
"83","Central Atlantic (PADD 1B)","Maryland","MD",24,"Atlantic",2016,2.312
"84","Central Atlantic (PADD 1B)","Maryland","MD",24,"Atlantic",2017,2.639
"85","New England (PADD 1A)","Massachusetts","MA",25,"Atlantic",2012,3.717
"86","New England (PADD 1A)","Massachusetts","MA",25,"Atlantic",2015,2.462
"87","New England (PADD 1A)","Massachusetts","MA",25,"Atlantic",2016,2.221
"88","New England (PADD 1A)","Massachusetts","MA",25,"Atlantic",2017,2.511
"89","Midwest (PADD 2)","Michigan","MI",26,"Midwest",2012,3.605
"90","Midwest (PADD 2)","Michigan","MI",26,"Midwest",2015,2.411
"91","Midwest (PADD 2)","Michigan","MI",26,"Midwest",2016,2.143
"92","Midwest (PADD 2)","Michigan","MI",26,"Midwest",2017,2.405
"93","Midwest (PADD 2)","Minnesota","MN",27,"Midwest",2012,3.562
"94","Midwest (PADD 2)","Minnesota","MN",27,"Midwest",2015,2.398
"95","Midwest (PADD 2)","Minnesota","MN",27,"Midwest",2016,2.09
"96","Midwest (PADD 2)","Minnesota","MN",27,"Midwest",2017,2.387
"97","Gulf Coast (PADD 3)","Mississippi","MS",28,"South",2012,3.479
"98","Gulf Coast (PADD 3)","Mississippi","MS",28,"South",2015,2.256
"99","Gulf Coast (PADD 3)","Mississippi","MS",28,"South",2016,2.024
"100","Gulf Coast (PADD 3)","Mississippi","MS",28,"South",2017,2.295
"101","Midwest (PADD 2)","Missouri","MO",29,"Midwest",2012,3.605
"102","Midwest (PADD 2)","Missouri","MO",29,"Midwest",2015,2.411
"103","Midwest (PADD 2)","Missouri","MO",29,"Midwest",2016,2.143
"104","Midwest (PADD 2)","Missouri","MO",29,"Midwest",2017,2.405
"105","Rocky Mountain (PADD 4)","Montana","MT",30,"West",2012,3.552
"106","Rocky Mountain (PADD 4)","Montana","MT",30,"West",2015,2.481
"107","Rocky Mountain (PADD 4)","Montana","MT",30,"West",2016,2.212
"108","Rocky Mountain (PADD 4)","Montana","MT",30,"West",2017,2.498
"109","Midwest (PADD 2)","Nebraska","NE",31,"Plains",2012,3.605
"110","Midwest (PADD 2)","Nebraska","NE",31,"Plains",2015,2.411
