"State","Agriculture","Aviation","Boating","Industrial.Commercial","Construction","Federal.onhwy","SCM.onhwy","SCM.offhwy"
"Alabama",1544.57535082101,2525.4,72683.794014875,13262.6624112702,2503.10851077833,3247.9280722949,59820.4095596915,3174.9669774731
"Alaska",27.71969592874,1661.92453495475,8890.04165825281,1002.72335958503,388.913708599921,1719.38560354333,12978.3653672013,674.449031285233
"Arizona",1355.60455799501,6039,15896.2290168012,38019.455173303,11910.9535787924,7465.43461263217,35269.3177278432,1840.65462889417
"Arkansas",5006.70230684962,1939.8,42890.3970609615,9645.66148639166,6489.35171751057,1773.76561685671,20862.8179487946,1093.42068390862
"California",7112.94336579654,27084,91583.3535381227,33715.3822747494,25402.0175753907,27185.756836536,362672.321301114,18927.3433675665
"Colorado",2191.95940065591,3403.8,8351.09952237623,11820.7395436481,11324.530262833,4885.90896380889,36012.2512776958,1891.3917890296
"Connecticut",44.1975716639386,805.2,17985.3629549931,466.243994980667,314.435967244867,2009.79937324525,610.090474789603,31.8397385832958
"Delaware",129.77174895187,329.4,19398.5673609419,1631.56239132175,783.63685345339,550.535934327662,2647.99093272383,115.514528269522
"District of Columbia",NA,0,454.101555011693,121.284784971716,30.0981381246461,4676.29788247739,17098.0037552849,760.78437432122
"Florida",743.797968317664,18922.2,325815.297447279,58309.6219380857,32711.3301915613,12326.2314786043,179191.11217232,8502.52161035517
"Georgia",977.287702791415,4831.2,74510.9283939141,4184.23046352011,2438.56719971794,6839.90621894898,97585.7520313976,5092.85911274971
"Hawaii",115.556538755187,362.916049642104,1098.44635242609,3939.88678018521,2453.89701585457,2456.12607592007,13356.1408814509,699.9955966073
"Idaho",2387.4881099726,1793.4,8723.3919190803,9348.22190349647,5050.78349246136,2226.6043571699,4099.94697455384,214.878298603222
"Illinois",6617.53324964847,3184.2,41788.5524247725,7121.17420560857,4718.96133996788,6882.96480812385,47931.7158695043,2501.48685514248
"Indiana",4606.57481157986,2598.6,27265.1445576712,7092.04453711051,3847.47795825404,3319.64329759152,16759.4959755033,878.365501557632
"Iowa",8358.39962577361,1610.4,16045.0723759461,2834.15899978436,2094.95431619482,1625.5083698021,23413.7576302696,1227.11548093815
"Kansas",8852.93424619787,2379,7134.07320495352,10735.0003640755,4004.97530389629,1933.61174982057,7602.63384573039,398.454183874314
"Kentucky",1592.26552574382,1244.4,37230.4143031977,3509.70192297369,1528.61660740471,2851.70077391398,54484.0102685382,2843.44161334122
"Louisiana",2839.01407648891,2525.4,78556.4309856585,4887.53286033761,3705.69716851308,3318.11455093641,54457.3354261798,3084.2277882959
"Maine",112.494536785622,915,26108.0145601814,2933.327106882,1113.17358254261,848.584413430587,10190.1117335096,532.935444759999
"Maryland",664.715628513919,1500.6,31162.6368469131,2000.7385942444,1580.26242594961,6265.71874070284,43945.8885842517,2293.47229985152
