"","State","AG.OFF.HWY","Year"
"1","Alabama",1544.57535082101,2017
"2","Alaska",27.71969592874,2017
"3","Arizona",1355.60455799501,2017
"4","Arkansas",5006.70230684962,2017
"5","California",7112.94336579654,2017
"6","Colorado",2191.95940065591,2017
"7","Connecticut",44.1975716639386,2017
"8","Delaware",129.77174895187,2017
"9","Florida",743.797968317664,2017
"10","Georgia",977.287702791415,2017
"11","Hawaii",115.556538755187,2017
"12","Idaho",2387.4881099726,2017
"13","Illinois",6617.53324964847,2017
"14","Indiana",4606.57481157986,2017
"15","Iowa",8358.39962577361,2017
"16","Kansas",8852.93424619787,2017
"17","Kentucky",1592.26552574382,2017
"18","Louisiana",2839.01407648891,2017
"19","Maine",112.494536785622,2017
"20","Maryland",664.715628513919,2017
"21","Massachusetts",56.9663730721818,2017
"22","Michigan",2002.34663462985,2017
"23","Minnesota",5645.52134383039,2017
"24","Mississippi",5425.07677596602,2017
"25","Missouri",5041.62369215813,2017
"26","Montana",4562.16269464648,2017
"27","Nebraska",6433.95782556827,2017
"28","Nevada",630.729982804726,2017
"29","New Hampshire",27.3661248962704,2017
"30","New Jersey",502.917628849252,2017
"31","New Mexico",388.812401633924,2017
"32","New York",2031.27594574163,2017
"33","North Carolina",2314.8176784261,2017
"34","North Dakota",10290.6861646181,2017
"35","Ohio",2689.32338796409,2017
"36","Oklahoma",6564.90380816772,2017
"37","Oregon",1048.74695153891,2017
"38","Pennsylvania",3095.85471928797,2017
"39","Rhode Island",5.36396876413386,2017
"40","South Carolina",435.425475115107,2017
"41","South Dakota",6002.15656466666,2017
"42","Tennessee",1298.95351521521,2017
"43","Texas",7804.89760712658,2017
"44","Utah",1235.48118852875,2017
"45","Vermont",168.785438226581,2017
"46","Virginia",1133.44033255043,2017
"47","Washington",4489.59393458657,2017
"48","West Virginia",412.862125269034,2017
"49","Wisconsin",2738.38933777174,2017
"50","Wyoming",2043.80173342185,2017
